L,Total_Prompts,Successful,Avg_Accuracy_Percent,Median_Accuracy_Percent,Min_Accuracy_Percent,Max_Accuracy_Percent,Exact_Matches,Exact_Match_Rate_Percent,Avg_Undecided_Bits,Avg_Decided_Bits
8,75,75,76.16666666666667,87.5,0.0,100.0,18,24.0,1.9066666666666667,6.093333333333334
9,75,75,66.07407407407406,66.66666666666666,11.11111111111111,100.0,4,5.333333333333334,3.0533333333333332,5.946666666666666
10,75,75,53.06666666666667,60.0,0.0,100.0,2,2.666666666666667,4.693333333333333,5.306666666666667
11,75,75,36.36363636363637,36.36363636363637,0.0,90.9090909090909,0,0.0,7.0,4.0
12,75,75,24.888888888888886,25.0,0.0,66.66666666666666,0,0.0,9.013333333333334,2.986666666666667
13,75,75,19.17948717948718,15.384615384615385,0.0,61.53846153846154,0,0.0,10.506666666666666,2.493333333333333
14,75,75,13.428571428571427,14.285714285714285,0.0,42.857142857142854,0,0.0,12.12,1.88
15,75,75,9.422222222222222,6.666666666666667,0.0,40.0,0,0.0,13.573333333333334,1.4266666666666667
16,75,75,6.75,6.25,0.0,25.0,0,0.0,14.92,1.08
17,75,75,4.705882352941177,5.88235294117647,0.0,17.647058823529413,0,0.0,16.2,0.8
18,75,75,4.370370370370371,5.555555555555555,0.0,22.22222222222222,0,0.0,17.213333333333335,0.7866666666666666
19,75,75,3.087719298245614,0.0,0.0,21.052631578947366,0,0.0,18.413333333333334,0.5866666666666667
20,75,75,2.4,0.0,0.0,15.0,0,0.0,19.52,0.48
21,75,75,1.841269841269841,0.0,0.0,9.523809523809524,0,0.0,20.613333333333333,0.38666666666666666
22,75,75,1.393939393939394,0.0,0.0,9.090909090909092,0,0.0,21.69333333333333,0.30666666666666664
23,75,75,1.043478260869565,0.0,0.0,8.695652173913043,0,0.0,22.76,0.24
24,75,75,1.3333333333333333,0.0,0.0,12.5,0,0.0,23.68,0.32
25,75,75,0.6933333333333334,0.0,0.0,8.0,0,0.0,24.826666666666668,0.17333333333333334
26,75,75,0.8717948717948716,0.0,0.0,7.6923076923076925,0,0.0,25.773333333333333,0.22666666666666666
27,75,75,0.345679012345679,0.0,0.0,3.7037037037037033,0,0.0,26.906666666666666,0.09333333333333334
28,75,75,0.9523809523809522,0.0,0.0,10.714285714285714,0,0.0,27.733333333333334,0.26666666666666666
29,75,75,0.4597701149425287,0.0,0.0,3.4482758620689653,0,0.0,28.866666666666667,0.13333333333333333
30,75,75,0.5333333333333333,0.0,0.0,3.3333333333333335,0,0.0,29.84,0.16
31,75,75,0.5161290322580644,0.0,0.0,3.225806451612903,0,0.0,30.84,0.16
32,75,75,0.2916666666666667,0.0,0.0,3.125,0,0.0,31.906666666666666,0.09333333333333334
